time (ms),qx,qy,qz,qw,qx2,qy2,qz2,qw2,gx1,gy1,gz1,gx2,gy2,gz2,ax1,ay1,az1,ax2,ay2,az2,lx1,ly1,lz1,lx2,ly2,lz2,grx1,gry1,grz1,grx2,gry2,grz2
39,-0.38909912109375,-0.6407470703125,-0.3267822265625,0.5755615234375,0.6121826171875,0.7445068359375,-0.17999267578125,0.19622802734375,0.0077777777777777776,-0.011111111111111112,-0.04777777777777778,-0.027777777777777776,0.01888888888888889,0.012222222222222223,9.58,-0.38,-1.35,-3.61,-0.37,-8.29,-0.14,-0.1,-0.14,0.13,-0.1,0.12,9.72,-0.27,-1.22,-3.74,-0.26,-8.41
71,-0.38848876953125,-0.641357421875,-0.32696533203125,0.5751953125,0.61346435546875,0.74365234375,-0.1796875,0.19598388671875,0.16111111111111112,-0.013333333333333334,-0.042222222222222223,-0.03222222222222222,0.027777777777777776,0.005555555555555556,9.52,-0.31,-1.31,-3.63,-0.37,-8.22,-0.16,-0.09,-0.11,1.39,-0.14,0.22,9.72,-0.26,-1.22,-3.73,-0.25,-8.42
104,-0.38800048828125,-0.641845703125,-0.326904296875,0.57501220703125,0.61322021484375,0.74395751953125,-0.1790771484375,0.1959228515625,0.1922222222222222,-0.015555555555555555,-0.04111111111111111,-0.042222222222222223,0.042222222222222223,0.005555555555555556,9.55,-0.24,-1.35,-4.88,-0.39,-8.25,-0.16,0.01,-0.13,0.12,-0.14,0.17,9.72,-0.25,-1.23,-3.72,-0.24,-8.43
138,-0.3870849609375,-0.6427001953125,-0.32647705078125,0.57489013671875,0.61322021484375,0.74420166015625,-0.17822265625,0.19580078125,0.04888888888888889,-0.017777777777777778,-0.03888888888888889,-0.052222222222222225,0.04555555555555556,0.0044444444444444444,9.59,-0.26,-1.33,-3.58,-0.39,-8.24,-0.12,-0.02,-0.09,0.13,-0.15,0.19,9.72,-0.24,-1.23,-4.99,-0.23,-8.43
169,-0.38653564453125,-0.64324951171875,-0.326416015625,0.57470703125,0.61419677734375,0.74371337890625,-0.17730712890625,0.19549560546875,0.17555555555555555,-0.014444444444444444,-0.04111111111111111,-0.052222222222222225,0.03777777777777778,0.0044444444444444444,9.54,-0.28,-1.36,-3.59,-0.36,-8.26,-0.17,-0.02,-0.12,1.39,-0.13,0.17,9.72,-0.23,-1.24,-3.7,-0.22,-8.44
202,-0.3858642578125,-0.64373779296875,-0.32635498046875,0.5745849609375,0.6141357421875,0.74395751953125,-0.17657470703125,0.1954345703125,0.18,-0.0077777777777777776,-0.04555555555555556,-0.04,0.02666666666666667,0.008888888888888889,9.59,-0.18,-1.32,-4.85,-0.37,-8.29,-0.07,0.02,-0.08,1.41,-0.15,0.12,9.72,-0.21,-1.24,-4.97,-0.21,-8.44
235,-0.3863525390625,-0.64361572265625,-0.3272705078125,0.57391357421875,0.61407470703125,0.74407958984375,-0.17608642578125,0.19561767578125,0.023333333333333334,-0.0077777777777777776,-0.03333333333333333,-0.03222222222222222,0.005555555555555556,0.014444444444444444,9.44,-0.18,-1.38,-3.55,-0.31,-8.24,-0.27,0.02,-0.14,1.39,-0.09,0.21,9.72,-0.21,-1.24,-3.69,-0.2,-8.44
266,-0.3857421875,-0.64410400390625,-0.32720947265625,0.57379150390625,0.614013671875,0.744140625,-0.17572021484375,0.19573974609375,0.15,-0.0033333333333333335,-0.027777777777777776,-0.025555555555555557,0.012222222222222223,0.0022222222222222222,9.63,-0.25,-1.35,-3.57,-0.34,-8.29,-0.08,-0.05,-0.1,1.39,-0.14,0.15,9.72,-0.2,-1.24,-3.69,-0.2,-8.45
299,-0.385498046875,-0.644287109375,-0.32733154296875,0.57373046875,0.6138916015625,0.7442626953125,-0.17529296875,0.19598388671875,0.02666666666666667,0.008888888888888889,-0.023333333333333334,-0.034444444444444444,0.006666666666666667,0.006666666666666667,9.55,-0.16,-1.4,-3.58,-0.3,-8.3,-0.16,0.05,-0.18,0.1,-0.1,0.14,9.72,-0.19,-1.24,-4.97,-0.19,-8.45
332,-0.38311767578125,-0.6456298828125,-0.325439453125,0.57489013671875,0.61376953125,0.744384765625,-0.17498779296875,0.19622802734375,0.16777777777777778,0.028888888888888888,0.006666666666666667,-0.03,0.0033333333333333335,0.0044444444444444444,9.57,-0.05,-1.43,-4.83,-0.3,-8.26,-0.13,0.09,-0.13,1.4,-0.1,0.17,9.72,-0.2,-1.24,-3.69,-0.19,-8.45
368,-0.38299560546875,-0.6453857421875,-0.3253173828125,0.57525634765625,0.61376953125,0.74444580078125,-0.1749267578125,0.1962890625,0.16,0.04888888888888889,0.05444444444444444,0.005555555555555556,-0.012222222222222223,-0.0077777777777777776,9.61,-0.26,-1.38,-3.56,-0.29,-8.27,-0.11,-0.05,-0.15,1.4,-0.1,0.17,9.72,-0.22,-1.22,-3.69,-0.19,-8.44
400,-0.3836669921875,-0.64434814453125,-0.32476806640625,0.5762939453125,0.61358642578125,0.74444580078125,-0.17523193359375,0.1964111328125,0.07333333333333333,0.052222222222222225,0.09555555555555556,0.008888888888888889,-0.02,-0.013333333333333334,9.61,-0.08,-1.32,-3.55,-0.28,-8.26,-0.12,0.14,-0.11,1.41,-0.1,0.15,9.72,-0.25,-1.21,-4.97,-0.2,-8.44
432,-0.38385009765625,-0.64373779296875,-0.3232421875,0.5777587890625,0.6134033203125,0.7445068359375,-0.17572021484375,0.19635009765625,0.16444444444444445,0.06777777777777778,0.14888888888888888,0.17666666666666667,-0.02,-0.01888888888888889,9.54,-0.34,-1.34,-3.6,-0.31,-8.26,-0.2,-0.04,-0.08,1.39,-0.1,0.15,9.72,-0.29,-1.19,-4.98,-0.21,-8.44
463,-0.384765625,-0.6424560546875,-0.3221435546875,0.5870361328125,0.6131591796875,0.74456787109375,-0.17633056640625,0.19622802734375,0.16333333333333333,0.07777777777777778,0.16111111111111112,0.17444444444444446,-0.017777777777777778,-0.021111111111111112,9.61,-0.33,-1.29,-4.81,-0.29,-8.26,-0.15,-0.07,-0.11,1.39,-0.11,0.22,9.73,-0.35,-1.17,-3.7,-0.22,-8.43
495,-0.3858642578125,-0.64093017578125,-0.3211669921875,0.5806884765625,0.613037109375,0.74462890625,-0.17681884765625,0.19598388671875,0.16555555555555557,0.0811111111111111,0.15555555555555556,0.16444444444444445,0.0033333333333333335,-0.008888888888888889,9.57,-0.41,-1.23,-3.57,-0.33,-8.26,-0.15,-0.02,-0.07,0.12,-0.11,0.17,9.73,-0.4,-1.14,-3.7,-0.22,-8.44
